"","X","Length","Width","MeanThick","Max_Thick","Weight","Surface.Plat","Platfom_Depth","Cortex","No_Scars","Termination_type","EPA","Log_Weight","Log_Max_Thick","Log_Plat","Log_Plat_De"
"1",1,51.3,29.8,10.0666666666667,13.1,17.83,83.585,7.3,5,4,"Feather",51,1.25115134317535,1.11727129565576,1.92212834679636,0.863322860120456
"2",2,49.1,30,8.56666666666667,9.7,13.33,90.48,7.8,5,3,"Feather",70,1.12483014941386,0.986771734266245,1.9565525919174,0.89209460269048
"3",3,30.8,43.8,11.5666666666667,16.8,20.33,40.5,3.6,3,2,"Feather",35,1.30813737863804,1.22530928172586,1.60745502321467,0.556302500767287
"4",4,30.2,19.6,5.5,6.7,3.98,59.67,5.1,5,3,"Feather",66,0.599883072073688,0.826074802700826,1.7757560378441,0.707570176097936
"5",5,57.1,37.8,11.1666666666667,13.3,22.18,109.8,12,4,3,"Feather",68,1.34596154181314,1.12385164096709,2.04060234011407,1.07918124604762
"6",6,37.5,34.2,5.46666666666667,6.7,7.97,51.34,6.8,5,1,"Hinge",65,0.901458321396112,0.826074802700826,1.71045586433542,0.832508912706236
"7",7,65.6,41.9,10.4,14.6,24.16,93.84,10.2,5,2,"Feather",67,1.38309692994909,1.16435285578444,1.97238799910747,1.00860017176192
"8",8,86.8,70.8,16.0666666666667,19.2,96.2,210.625,12.5,5,3,"Step",66,1.98317507203781,1.28330122870355,2.32350991821541,1.09691001300806
"9",9,39.2,54.7,16.7,27.3,31.7,17.46,3.6,5,2,"Feather",30,1.50105926221775,1.43616264704076,1.24204423936955,0.556302500767287
"10",10,49.2,60.6,11.2333333333333,14,40.16,158.08,12.8,5,2,"Hinge",68,1.60379370413696,1.14612803567824,2.19887692724355,1.10720996964787
"11",11,35.1,29.1,9.96666666666667,14.2,10.37,73.08,16.8,4,3,"Feather",74,1.01577875638904,1.15228834438306,1.8637985386805,1.22530928172586
"12",12,36.9,27.6,8.66666666666667,9.9,7.57,9,3,5,3,"Feather",70,0.879095879500073,0.99563519459755,0.954242509439325,0.477121254719662
"13",13,44.5,29.6,8.1,9.6,11.91,158.27,9.8,5,3,"Hinge",68,1.07591176148278,0.982271233039568,2.19939860235962,0.991226075692495
"14",14,39.5,33.6,8.76666666666667,11,9.21,23.305,5.9,5,2,"Feather",71,0.964259630196849,1.04139268515823,1.3674491072686,0.770852011642144
"15",15,37.2,28,15.1,17.9,15.66,3.96,1.8,5,3,"Feather",80,1.19479175772192,1.25285303097989,0.597695185925512,0.255272505103306
"16",16,25.6,25.5,4.76666666666667,6.2,3.77,44.88,6.8,5,2,"Feather",70,0.576341350205793,0.792391689498254,1.6520528482481,0.832508912706236
"17",17,38.3,22,6.96666666666667,8.4,6.17,15.3152641862502,2.5,5,2,"Hinge",59,0.790285164033242,0.924279286061882,1.18512449272869,0.397940008672038
"18",18,36.2,34.2,7.93333333333333,9.3,10.8,159.25,9.1,5,5,"Hinge",76,1.03342375548695,0.968482948553935,2.20207944100739,0.959041392321094
"19",19,43.6,25.5,8.5,9.4,8.66,15.81,3.1,5,2,"Feather",60,0.937517892017347,0.973127853599699,1.19893186993221,0.491361693834273
"20",20,45.7,34.5,11.3333333333333,16.9,15.39,62.1,6,5,2,"Feather",100,1.18723861983148,1.22788670461367,1.79309160017658,0.778151250383644
